is_negative,is_netral,is_positive,to_drop,full_text,,,,,,,,,,,,,
,,1,,#DeepSeek malam ini lagi ngerjain side project karena suntuk jadi nyoba yang lagi naik daun DeepSeek side project katanya. Reasoning mirip kaya claude GPT? jauh banget ini mah. Kayanya mulai mempertimbangkan menggunakan deepseek r1 1.5b dari pada harus subs claude / gpt. https://t.co/lOucUqNjRw,,,,,,,,,,,,,
,,1,,Alhamdulillah let's go DeepSeek. bener2 gokil ini deepseek hampir bisa mengcover semua kekurangan yang ada di chatgpt resource yang digunain lebih efisien pulak,,,,,,,,,,,,,
,,1,,DeepSeek R1 is crazy af. I love the logical reasoning expand my reference about something. Gw rasa mereka akan upgrade lagi dengan spek yang lebih gahar dari sekedar R1,,,,,,,,,,,,,
,,,1,Chin- Launches DeepSeek R1 KamaKotiIITMwale- Gaumutra can cure all diseases. Bhakt: VishGuru VishGuru.......,,,,,,,,,,,,,
,,1,,Deepseek udah murah ini malah makin murah lagi,,,,,,,,,,,,,
,,,1,@avichal @deepseek_ai 3. China has 50K GPUs.,,,,,,,,,,,,,
,,1,,@BudiBukanIntel US tech bros lagi kerja keras nyebar narasi nuduh CCP sebenernya punya puluhan ribu GPU Nvidia (meskipun diembargo) dan Deepseek dengan pretraining cost $5.5m itu psyop menlen biar US engage ke AI arms race,,,,,,,,,,,,,
,,,1,Techbro kocar kacir cari pembenaran kenapa minta duit ultra banyak dan kaga efisien. Udah gitu makin bikin kicep itu deepseek kerjaan sampingan doang.,,,,,,,,,,,,,
,,1,,Abis amrik koar2 project stargate yang minta budget 500B dolar buat openai (yang namanya doang open tapi kaga) hari ini ada wiraswastawan cina ngeluarin model ai namanya deepseek yang jauh lebih efisien dan opensource.,,,,,,,,,,,,,
,,1,,@imrenagi Gile sih ini Deepseek. Baru install App nya juga kenceng,,,,,,,,,,,,,
,,1,,yang lebih shockedt dari deepseek itu bukan perkara murah tapi mereka jadiin deepseek sebagai side project. project utama mereka ya mining gpu bekas miningnya buat training wkwkwkkwkw,,,,,,,,,,,,,
,,,1,@anvie Deepseek real copyleft bahkan bukan AGPL,,,,,,,,,,,,,
,,1,,China luar biasa men-disrupt teknologi dari hulu-hilir. Isi timeline ku seminggu ini penuh dengan deepseek.,,,,,,,,,,,,,
,,,1,@kamleshksingh Tau DeepSeek kahi DeepState ka New Kejriversion to nhi hai,,,,,,,,,,,,,
,1,,,Mari kita coba DeepSeek,,,,,,,,,,,,,
1,,,,Nanya ramalan cuaca di deepseek ga bisa jawab nanya di grok dijawab... Hmmm,,,,,,,,,,,,,
,,1,,@Aswicahyono Wajar pak lecun bilang begitu karena deepseek dibangun di atas llama yg dia ketuai tp kan tinggal dibalik.. dengan kultur silicon valley dan nasdaq disana kok ga ada yg mampu bikin seperti deepseek dgn segala kapasitas sdm dan kapital yg melimpah,,,,,,,,,,,,,
,1,,,@BudiBukanIntel kmren ada post dri org Meta di forum IT sana. dan nemu kejadian lucu org Google blg klo Deepseek dah keluarin technicall paper trus ada user lain minta sumbernya tapi si orang Google gak nemu dia org google tapi gak bisa nyari sesuatu https://t.co/ObjHSOkxC7 https://t.co/hSzhTGs6xf,,,,,,,,,,,,,
,1,,,Pendapat berbeda tentang kemenangan DeepSeek vs OpenAI,,,,,,,,,,,,,
,,,1,Pendapat lain tentang kemenangan DeepSeek vs OpenAI,,,,,,,,,,,,,
,,1,,Deepseek far more advance. Imagine sebelum dia bagi jawapan dia tanya sesama model ai dia sendiri sebelum keluarkan jawapan.,,,,,,,,,,,,,
,1,,,tahun 2025 kyknya tahun nya AI nih war antara DeepSeek R1 vs OpenAi,,,,,,,,,,,,,
,,1,,Sebagai warga medioker sepertinya DeepSeek akan menjadi pilihan yang tepat sebagai alternatif penggunaan OpenAI. ‍↕️,,,,,,,,,,,,,
,,,1,@avichal @deepseek_ai 1. AGI is &lt; 10k LOC.,,,,,,,,,,,,,
,,,1,Wkwk gara2 deepseek pasti,,,,,,,,,,,,,
,,,1,@marouane53 Deepseek Nadi dyal bsah....,,,,,,,,,,,,,
,,1,,@anvie dan jujur lebih enak pake deepseek pke gpt buat ngebandingin doang pas awal2,,,,,,,,,,,,,
,,1,,Deepseek enak banget sumpah reasoning dia menurut gua cukup menarik juga biar tau cara dia ngelakuin problem solvingnya gimana https://t.co/Yp1evLFwCm,,,,,,,,,,,,,
,,1,,Deepseek R1 model sama algorithm nya open source. potensial banget dikembangin mana penggunaan resource nya lebih ringan. di Indonesia udah ada belum ya yang mulai ngembangin model kearah sana https://t.co/0QbYriMByb,,,,,,,,,,,,,
,,1,,karena lewat di tl jadi coba kenalan ama deepseek kaaan biasa bilang kenalin dirimu dulu trs architecturemu gimana ada limit apa aja trs akhirnya buka diskusi dengan bilang my vo2max sekian please elaborate about it. aku cukup suka dgn responnya lumayan panjang,,,,,,,,,,,,,
,,1,,Udahan langganan chatgpt mending pake deepseek jauh lebih murah Chad Jinping,,,,,,,,,,,,,
,,1,,Pertanyaan2 aku ke chatgpt tuh engga sedalam ini.. cuma dengan kamu (deepseek) aku merasa nyaman bertanya sedalam ini.. Wkwk.. tp emang deepseek jawaban2nya bikin adem bikin nyaman! https://t.co/dM6UfnTbNY,,,,,,,,,,,,,
,,1,,DeepSeek juga ikutan nyari a real human employee.. AI company masih butuh human employee adalah indikasi AGI masih blm terlihat hilalnya. https://t.co/m7k7rKuXgp,,,,,,,,,,,,,
,,1,,Deepseek ini kayk orang lagi diinterview ya. Thinking out loud dulu baru ngasih final answer. Menarik,,,,,,,,,,,,,
,,1,,Gue nge hypin DeepSeek buat kalahin closedAI,,,,,,,,,,,,,
,,1,,@anvie Faktanya deepseek yang sekeren ini adalah cuman side project. Wkwkw,,,,,,,,,,,,,
,,,1,@ARSIPAJA Awasi internet tapi ekosistem pengembangan aplikasinya gak jalan. Start up banyak yg tumbang. Mau pake aplikasi ama web apa akhirnya? China sensor habis2an netnya tapi web dan aplikasinya didevelop bagus. Ada @deepseek_ai yg paling gres,,,,,,,,,,,,,
,,,1,@tawazunikhlas Bisa jadi apalagi sudah ada gelontoran 500B untuk infra AI yang sebetulnya bisa ditweak dengan algoritma yang ringkas. Kalau Deepseek belum hadir dan membuktikan omongan saya ini bisa disebut omong kosong~,,,,,,,,,,,,,
,,1,,@Dwi_Maryanto_ @anvie Kemampuannya kira2 95% openai dengan harga 95% lebih murah. Jadi ya memang mengacaukan. Ditambah open source. Kalau hardware situ cukup sakti. Download trus bisa langsung pake Blom ditambah yang ngeluarin deepseek itu BUKAN perusahaan AI,,,,,,,,,,,,,
,,,1,ketika lu baca berita tentang deepseek wkwk https://t.co/5sV9lcJjmS,,,,,,,,,,,,,
,,1,,Hikmah Deepseek kapitalisme terpimpin lebih baik,,,,,,,,,,,,,
,,1,,@uradn TBH 01 itu lbh enak utk teman ngobrol sehari2 Deepseek R1 itu rigid banget kayak text book,,,,,,,,,,,,,
,,1,,Dalam satu hari gw dikatain sama fans JOSEPH STALIN (krn gue bilang DeepSeek AI nyuri dan 'bungkus ulang' ChatGPT) dan dikatain sama b*tak pesek fans isroil as SJW neo marxis Sebagai Ba*ak mancung reformed-progresif-optimalis gue marah semarah-marahnya krn what the hell :(,,,,,,,,,,,,,
,,1,,Paitan sengit elon ke sama ini jg variabel jane itu jg kenapa gulungan terbesar itu masih disini. Gak ada ruginya jg elon up deepseek. Scr default jg openai udah war ama zuck anthropic google dll. Lebih menarik perang liquitidy di narasi ini. Ai nya ya gitu2 aja tinggal pake,,,,,,,,,,,,,
,,1,,@mgppap ini resultsnya kalau pakai Deepseek R1 hasilnya lebih smooth dan smart sesuai dengan stack yg kita minta dibuatkannya. Semua akan deepseek pada waktunya? let's see hehehe https://t.co/EVWsjfKoKZ,,,,,,,,,,,,,
,,,1,@anvie gg sih deepseek,,,,,,,,,,,,,
,,,1,@mgppap aq kasih gambar yg warna dark blue dan hasil dari deepseek di gambar yg backgroundnya biru (bisa run lgsg dari deepseek) https://t.co/6GrAQwgPWS,,,,,,,,,,,,,
,,,1,Rame ya deepseek Udah bisa pic to code blm?,,,,,,,,,,,,,
,,1,,@papanberjalan kok bisa ya pak lebih canggih dari ChatGPT tapi versi free pdhal cost produksinya jg berkali-kali lipat lebih murah? masa cuma karena DeepSeek open source?,,,,,,,,,,,,,
,,1,,@anvie deepseek lebih oke dari Chatgpt tp gratis,,,,,,,,,,,,,
,,,1,@deepseek_ai CTRL + C and CTRL + V done,,,,,,,,,,,,,
,,1,,Anyway sudah waktunya-kah semuaa service yg asalnya pake openai ini pindah ke Deepseek Tanggapannya dongg wargaa,,,,,,,,,,,,,
,,,1,Lengah dikit deepseek R1 rame bener di timeline mulai rajin nongkrong di X aaah..,,,,,,,,,,,,,
,,,1,@anvie Sehebat itu deepseek pak?,,,,,,,,,,,,,
,,,1,Deepseek ini tanpa upal macem PAI PIN PAAL SAI TAO PHA HEART TAI dll ya sebenarnya akan biasa² aja. Karena memang barengan ama narasi upal aja jadi ekponential. Metode kempennya itu hampir sama dengan kecap NVDA januari 2023,,,,,,,,,,,,,
,,1,,DeepSeek-R1 dibuat Opensource. Setara OpenAI. China luar biasa. https://t.co/mm8valChk9,,,,,,,,,,,,,
,,,1,@Dadyrichies @deepseek_ai Waulize waungwana wakupe majibu,,,,,,,,,,,,,
,,,1,Qozoqlar Husanov transferidan qanaqa talvasada bo'lsa amerikaliklar Xitoyning Deepseek LLMidan shunchalik talvasada.,,,,,,,,,,,,,
,,,1,OpenAi perlu anggaran sewa buzzer buat menghalau dominasi DeepSeek-R1 di media sosial mereka perlu belajar ke pemerintah Indonesia,,,,,,,,,,,,,
,,1,,Setelah menciptakan matahari buatan baru2 ini china juga telah merilis kecerdasan buatan bernama deepseek yg disnggap lebih maju daripada chatgpt o1 Barat dan timur saling berlomba2 dalam bidang sains kecuali kadrun,,,,,,,,,,,,,
,,1,,Pakai Deepseek aja kualitas TOP dan gratis dibandingkan chatGPT https://t.co/abg9rA2qgl,,,,,,,,,,,,,
,,1,,DeepSeek-R1 changing the equation in AI industry hormat pada para pengembangnya,,,,,,,,,,,,,
,,,1,@MFaizGhifari Loh baru aja kmrn malem chat admin buat tambahin deepseek trnyt ada di paket 3-6 bulan. Buat saya yg tiap bulan renew knp belum ada nih mas faiz,,,,,,,,,,,,,
,,,1,Coba kita berandai-andai. Coretax (harga Rp. 1T++) adalah chatgpt pro plan by openAI. Tiba-tiba kemudian keluar Deepseek AI yang open source code documentation keluatannya sama dan harga API lebih murah. Tapi ini Indonesia sektor swasta-nya aja bisa fraud apa lagi gov-nya,,,,,,,,,,,,,
,,,1,Bulan purnama di langit jernih Bintang berkelip penuh pesona. #DeepSeek AI sarjana bijak Ilmu ditanya segera diberi.,,,,,,,,,,,,,
,,,1,Economics ya DeepSeek hata Elon Musk hawezani,,,,,,,,,,,,,
,,,1,sebagai orang yang lagi keranjinan belajar statistik dan fondasi lainnya dalam matematika lalu baca cerita tentang deepseek. ada rasa gmana gitu menyesal membatasi diri dengan matematika ketika muda dulu,,,,,,,,,,,,,
,,,1,@MFaizGhifari Harus user yg 3 bulan? 1 bulan tidak bisa ya. Karena mau cek bakal cocok atau tidak dengan thinking process deepseek r1.,,,,,,,,,,,,,
,,,1,Ambil masa 15 saat untuk batu jatuh + bunyi sampai ke atas. Berapa kedalaman juram? Ini jawapan Ai: Gemini: 2572.5m Claude: 1102.5m Perplexity: 1102.5 ChatGPT: 790m Deepseek: 790m Co-pilot: 788.5m Kesimpulan aku kedalaman lebih kurang 790m. Tapi kenapa jawapan Ai berbeza-beza?,,,,,,,,,,,,,
,,,1,@YouJiacheng @AMD @deepseek_ai @zhyncs42 sglang= @lmsysorg or @lmarena_ai,,,,,,,,,,,,,
,,,1,@MFaizGhifari specifically gimana performa Deepseek di penggunaan bahasa Indonesia?,,,,,,,,,,,,,
,,,1,@realmadridindo1 Coba translaenya pake Deepseek Sim. Google translate udah kalah soalnya,,,,,,,,,,,,,
,,1,,Deepseek-R1 bagus banget setara dengan GPT o1 dengan thinking process yang menarik. Cocok untuk pertanyaan analisa mendalam Udah jadi go to model aku di AI Belajarlagi saat ini sudah tersedia untuk user paket 3 dan 6 bulan https://t.co/56spHbY0NL,,,,,,,,,,,,,
,,1,,DeepSeek adalah ancaman besar buat OpenAI &amp; Claude (juga model language lainnya) gua udah test buat AI yang gratis ini pinter banget.,,,,,,,,,,,,,
,1,,,Saya cek penilaian DeepSeek atas rekan sejawat AI. Secara keseluruhan dia ngasih dirinya sendiri 90/100 dibawah ChatGPT. Buat coding ga beda. Cuma Grok dikasih nilai lebih rendah. Batasannya cuma nggak bisa bahas Xi Jinping doang. Dan bagi saya itu okelah. Ga terlalu penting https://t.co/EoT3gHRivd,,,,,,,,,,,,,
,,,1,Dengan apa yang tengah unfolding Pasal cerita deepseek ni Aku memang lagi confident algo tiktok tu sampai mati depa takkan boleh figure out,,,,,,,,,,,,,
,,1,,Nyobain DeepSeek ternyata ini bisa disejajarin lah sama ChatGPT Gemini atau Grok. Mana full free lagi. Semua fitur ga dibedakan premium atau bukan. Nggak dibatasi limit. Produk China iki emang murah bikinnya tapi ga murahan. Pantes jagat AI pada geger.,,,,,,,,,,,,,
,,,1,@LifeOfPhat @avichal @deepseek_ai ASML,,,,,,,,,,,,,
,,,1,@bantg @avichal @deepseek_ai Banger,,,,,,,,,,,,,
,,1,,wew dengan deepseek bisa bikin chrome extension walau butuh 90 menit,,,,,,,,,,,,,
,,,1,eh ini ada yg bisa tldr in deepseek AI ga si lewat mulu di tl dan pd amazed bgt siapa yg hrs gue tag,,,,,,,,,,,,,
,,,1,deepseek apaansi kepo gua,,,,,,,,,,,,,
,,,1,@majurasamwel1 chat got ikisumbua tumia deepseek ai,,,,,,,,,,,,,
,,,1,Baru cobain kombinasi deepseek-r1 reasoning lalu copas ke cursor composer pake claude 3.5 sonnet reasoning dari deepseek bikin composer jadi lebih akurat dan sesuai keinginan bikin python script text extractor https://t.co/ycivmrfpyy,,,,,,,,,,,,,
,,,1,baca thought process deepseek bikin ngakak dialog dalam kepala ahh scene https://t.co/YinCwuLi7m,,,,,,,,,,,,,
,,,1,Tak sabar deepseek model dalam Cursor as premium model.,,,,,,,,,,,,,
,,1,,Tiga pilar AI adalah data algoritma dan daya komputasi. DeepSeek membuktikan algoritma yang super efisien ramah daya komputasi dan data. Kalau Indonesia mau maju di bidang AI secara hemat latih banyak orang dengan kemampuan logika tinggi and pay them well.,,,,,,,,,,,,,
,,1,,Bye GPT... Assalamualaikum DeepSeek.,,,,,,,,,,,,,
,,,1,Wkwkwk deepseek sy jg ngablu di local (ya emang pake model paling kicik),,,,,,,,,,,,,
,,,1,moves to $68 400 or $145 800. Data dari Coin Market Cap Analisis lewat DeepSeek R1 ️,,,,,,,,,,,,,
,,1,,Gila deepseek model deepthink ridwan kereeen bangett nget nget pake mikir dulu,,,,,,,,,,,,,
,,1,,Sudah punya kesan tersendiri dengan DeepSeek ketika pertama nyoba sebelum mainstream seperti sekarang,,,,,,,,,,,,,
1,,,,@anvie sayang banget di openrouter latency deepseek ini gede banget. yg deepseek v3 aja uda lama apalagi r1 lagi rame kayanya jadi lemot wkwwk. tapi hasilnya emang bagus sih apalagi dikasi web search. mana lebih murah inferencenya dibanding chatgpt dan claude.,,,,,,,,,,,,,
,1,,,Nah si Deepseek R1 yang baru di luncurin ini juga termasuk dalam kategori reasoning model jadi si chatbot nya akan mikir dulu sebelum kasih jawaban ke kita. Bahkan kita juga bisa liat proses berfikirnya seperti apa,,,,,,,,,,,,,
,1,,,@sthehu @firefox brave sudah ada juga . Firefox mungkin otw.... *gemini atau chatgpt atau deepseek ... sebagai alt.,,,,,,,,,,,,,
,1,,,Kepikiran apa mereka melatih model dengan model gpt or deepseek ya model melatih model :v,,,,,,,,,,,,,
,,,1,Wow gamau kalah ma deepseek,,,,,,,,,,,,,
,1,,,Jadi di luar lagi rame terkait peluncuran model open source AI dari DeepSeek bernama DeepSeek-R1 yang performanya bisa dibilang sejajar sama OpenAI-o1! https://t.co/6oG7Y9w3Ma,,,,,,,,,,,,,
,,,1,@zakiego Kemarin nyobain nge-run DeepSeek R1 yg 1.5B pake ollama. Sekilas aman sih meski singkat dan ga ekstensif ngetesnya. Nge-run yg versi 7B &amp; 8B di VM Contabo RAM 6GB mode CPU-only ga bisa ga cukup RAM wkwk.,,,,,,,,,,,,,
,,,1,@vinceflibustier servi via llama-server \ --hf-repo unsloth/DeepSeek-R1-Distill-Qwen-32B-GGUF \ --hf-file DeepSeek-R1-Distill-Qwen-32B-Q4_K_M.gguf \,,,,,,,,,,,,,
,,,1,Free vs $200 iykyk #openai #DeepSeek,,,,,,,,,,,,,
,,,1,@lordnixus @thegreymornings @deepseek_ai Taiwan,,,,,,,,,,,,,
,,,1,OpenAI = FTX + Alameda DeepSeek = Bitcoin,,,,,,,,,,,,,
,,,1,jadi deepseek ini kaya debat sama dirinya sendiri sekaligus ngembangin prompt nya ya..,,,,,,,,,,,,,
,1,,,dunia lagi perang ai (china's deepseek us open ai),,,,,,,,,,,,,
,1,,,@anvie Side project doang ini deepseek katanya,,,,,,,,,,,,,
,,,1,Caknyo nak dicubo dulu ini deepseek,,,,,,,,,,,,,
,1,,,@pipis @raihanaulia_rar Tambahin DeepSeek kak pis.. lg trending nih,,,,,,,,,,,,,
,,,1,DeepSeek AI yaxshiga o'xshagapti ChatGPT qo'ygan limitlar bo'lmasa balki almashtirishga yaxshi variant.,,,,,,,,,,,,,
,1,,,Abis DeepSeek terbit Doubao Lama-lama efisiensi AI China dianggap state sponsored dumping dan kena tariff tinggi.,,,,,,,,,,,,,
,,1,,Wow DeepSeek menghasilkan jawaban ya lebih baik dan gratis pula daripada ChatGPT gratisan.,,,,,,,,,,,,,
1,,,,Di timeline gue banyak juga buzzer deepseek ya hahaha,,,,,,,,,,,,,
,,,1,pasti efek deepseek haha,,,,,,,,,,,,,
,,1,,3 hari nyoba deepseek sejauh ini oke kalau penggunaan berhubungan sama text based karena deepseek belum ada voice command. gw bandingin sama output chatgpt o1 yang berbayar gak jauh beda scr kualitas.,,,,,,,,,,,,,
,,,1,Gemini Advanced - unlimited usage - free - biggest context window; 2M Tapi - shit UI platform - tanya lain jawab lain - guna sikit je terus frust Ni yang orang sebut bagi free tapi tak ikhlas. @TypingMindApp still farrr superior + Deepseek R1 + 3.5 Sonnet.,,,,,,,,,,,,,
,,1,,Ada yang sudah mencoba AI dari deepseek? Untuk beberapa bidang seperti reasoning respon yang dihasilkan lebih responsif dan akurat.,,,,,,,,,,,,,
,1,,,DeepSeek sepertinya model pertama yang saya lihat memperlihatkan kekuatan China dalam kompetisi AI. Gemini GPT Sonnet Llama Dolly rasanya US-centric semua. Jadi inget gimana China gerak ke AI secara sistematis sejak lama dalam buku AI-Superpowers by Kai-Fu Lee. https://t.co/h1omnmh8NL,,,,,,,,,,,,,
,1,,,Cuma sehari setelah hype deepseek OpenAI langsung menjawabnya dengan Operator. Mirip2 dengan perlombaan senjata waktu perang dingin. Non techy guys dari negara berkembang seperti aku cuma plonga plongo gak mudeng.,,,,,,,,,,,,,
,,1,,Sumpah Deepseek lbh canggih dr chatgpt. Lebih sesuai dgn apa yg saya inginkan.,,,,,,,,,,,,,
,,,1,Just in #technology: Model AI murah dan terbuka dari China DeepSeek menggembirakan para ilmuwan.. Selengkapnya: https://t.co/y3iQuJEr2J. #Pomodo #AI #DeepLearning #ChinaTech,,,,,,,,,,,,,
,,,1,AI na RPi - DeepSeek R1,,,,,,,,,,,,,
,,,1,@barisbll @melih_cat deepseek r1 aktif cursorda su an,,,,,,,,,,,,,
,,,1,DeepSeek-R1 (🇨🇳) jadi newplayer saat OpenAI (🇺🇸) mulai shift ke profit-oriented company makin seru aja.,,,,,,,,,,,,,
,,,1,@coldbreuu Coba deepseek atau claude sementara,,,,,,,,,,,,,
,,1,,@txtdarisugab sudah saatnya pindah deepseek,,,,,,,,,,,,,
,,1,,Implikasi rilisnya DeepSeek ini benar2 jadi pukulan telak buat openAI. Bayangkan. Pesaingmu rilis produk yg benar2 sama dan setara mutunya. Tapi dg biaya 30 kali lipat lbh murah. Usahamu bisa langsung gulung tikar. Done. Tamat.,,,,,,,,,,,,,
,,1,,Semalam coba deepseek ini. Versi gratisnya hampir setara yang berbayar,,,,,,,,,,,,,
,,1,,@Strategi_Bisnis Baru coba deepseek set dah apa itu openai,,,,,,,,,,,,,
,,,1,AI war antara usa vs china masuk babak baru. Rilis Deepseek China AI kemarin mengguncang dunia. Deepseek : - open source! - setara versi terbaru openai - biaya 30 kali lbh murah!! OpenaAi : - bukan opensource - dikuasai giant tech - oligopolistik Filosofi deepseek menarik : https://t.co/SfMGZ7aUwC,,,,,,,,,,,,,
,,,1,*soal dcc* awalnya salah. insert node tetangga ke queue pas gilirannya baru komparasi dgn node valid di sekitar utk set height. selalu run out memory/time. tanya DeepSeek disaranin (scr pseucode) utk langsung set nilai height pas memasukkan node tetangga tsb ke dalam queue. https://t.co/lJvHVHrU6b,,,,,,,,,,,,,
,1,,,Penasaran juga gimana DeepSeek monetize. Kalau ternyata bikin AI ini cuman side project karena perusahaan-nya adalah quant company (perusahaan dimana keputusan-keputusannya banyak di tentukan oleh math &amp; mesin) dan secara finansial/infrastruktur sudah ok maka bagi kapitalis gak,,,,,,,,,,,,,
,,1,,@minchoi Pak @mctosima_ sudah nyoba model deepseek? Kan device di Taiwan gacor gacor pak. xd,,,,,,,,,,,,,
,,,1,@marouane53 Elon m7lkmah open ai hahiya deepseek khrjat R1 f livebench hoi tani,,,,,,,,,,,,,
,,,1,DeepSeek-R1-Distill-Qwen-32B-GGUF iq3_xxs VS 拓也,,,,,,,,,,,,,
,,,1,@fahreziadhaa Saia menunggu meme DeepSeek ganti nama jadi ClosedSeek pasca rilis model CoT Open Source ini.,,,,,,,,,,,,,
,,,1,set OPENAI_API_BASE=http://127.0.0.1:1234/v1 `aider --model openai/deepseek-r1-distill-qwen-32b`,,,,,,,,,,,,,
,,,1,@levelsio Ollama+openwebui+ ollama run deepseek-r1:14b,,,,,,,,,,,,,
,,,1,Rilis Deepseek AI dari China ini bikin jagat AI shocked. AI dari China ini kemampuannya sama dg versi terkini OpenAI tapi dg harga 30 kali lbh murah Ini ibarat jual hape setara iphone terbaru dg harga hanya 500 rb. AI China ngeri sekali kemajuannya.,,,,,,,,,,,,,
,,,1,Just in #technology: Pemilik TikTok ByteDance dan DeepSeek memimpin dorongan China dalam pemahaman AI.. Selengkapnya: https://t.co/hZbAV8SUFX. #Pomodo #TikTok #AI #ByteDance,,,,,,,,,,,,,
,,,1,Export chat WhatsApp sama pasangan kamu upload ke DeepSeek dan suruh analyze. Asli resultnya kocak.,,,,,,,,,,,,,
,,,1,deepseek datang di saat claude gue kena rate limit mulu lagian banyak bacot banget dah responsenya enak pas masih pake haiku,,,,,,,,,,,,,
,,1,,sekarang udah fully pakai @deepseek_ai daripada @OpenAI karena ada features deepthink + search yang gratis xixi https://t.co/Uo5oXZzGWx,,,,,,,,,,,,,
,,,1,@superdoraemon fyi deepseek sizenya 685B muahal banget itu server costnya buat running modelnya,,,,,,,,,,,,,
,1,,,baru coba deepseek v3. gg sih tapi ya harus ngorbanin privacy.,,,,,,,,,,,,,
,,1,,Chat sama DeepSeek udah kayak cenayang aja bisa ngeliat isi pikirannya wkwkwkkw https://t.co/QnhoMUzQat,,,,,,,,,,,,,
,,1,,Bagi yang butuh AI dengan kemampuan setara @ChatGPTapp - o1 tapi FREE. Bisa coba fitur deepthink @deepseek_ai Dibanding mode default mode o1 atau deepthink akan menggunakan komputerisasi lebih tinggi. Khususnya untuk analisa data. Saya coba pertanyaan simple untuk https://t.co/bXXOjyN1Zy,,,,,,,,,,,,,
,,1,,@deepseek_ai gacor banget,,,,,,,,,,,,,
,,,1,@ollama @deepseek_ai My poor GPU,,,,,,,,,,,,,
,,,1,Adihrez rebi deepseek,,,,,,,,,,,,,
,,1,,deepseek ini mulai menggila!,,,,,,,,,,,,,
,,,1,@deepseek_ai the TEMU of AI,,,,,,,,,,,,,
,,,1,Nama toolsnya Chatplayground AI Bayar gak? Tenaang! Ada free-nya Emang mahasiswa S2-nya dari mana aja? Dari kampus ChatGPT Gemini Claude Llama Perplexity Deepseek dll Banyakk! https://t.co/iiJiRr0q1L,,,,,,,,,,,,,
,,1,,Salah satu alasan kenapa mulai males pake github copilot dan beralih ke 'continue' dengan model DeepSeek V3 yap-sering request failed padahal copilot pro padahal sebelum copilot digratiskan lancar terus https://t.co/sWPdSQFmvB,,,,,,,,,,,,,
,,,1,@ferizandra dah gitu Luhut sesumbar Indonesia mau ikutan bikin AI kayak Deepseek woi ngaca dulu ngapa coretax 1 3T biayanya amburadul masalah gak bisa atasi kimak kimak....,,,,,,,,,,,,,
,,,1,@coral_flower_ Apa yang bikin AlphaFold diasumsikan progres lebih cepat? Ini dua model yang ditrain dengan tujuan berbeda yg satu protein structure yg satu predicting tokens. Deepseek pun jg ga beda sama model sebelumnya yang ditulis di atas maksudnya mereka employ non-CS buat training data,,,,,,,,,,,,,
,,,1,Kendal 2025 Banser The largest moderate Muslim youth movement in the world affiliated w Nahdlatul Ulama(NU)the largest Islamic mass org in the world. DeepSeek IPNU Mbappe hyuna ISIS-is-Salafi Damkar Semoga 2025 #PajakMencekik Messi STEM Gemini IPPNU 8634 https://t.co/1oFXZfQSo6,,,,,,,,,,,,,
,,,1,USA 🇺🇸 : OpenAI China 🇨🇳 : DeepSeek India 🇮🇳 : #Hyderabad #Telangana https://t.co/DFwnj7EoJn,,,,,,,,,,,,,
,,,1,Dan ingin buat AI tandingin Deepseek? Pungo,,,,,,,,,,,,,
,,,1,chatgpt meta ai deepseek gemini copilot dan yak nambah satu lagi.,,,,,,,,,,,,,
